food_name,unit
水煮西蓝花,盘
西兰花,盒
水煮西兰花（不加油）,盒
水煮西兰花,盒
白灼西兰花,盒
西蓝花,盒
水煮西蓝花,盒
西兰花,颗
水煮西兰花（不加油）,颗
水煮西兰花,颗
白灼西兰花,颗
西蓝花,颗
水煮西蓝花,颗
西兰花,块
水煮西兰花（不加油）,块
水煮西兰花,块
白灼西兰花,块
西蓝花,块
水煮西蓝花,块
西兰花,碗
水煮西兰花（不加油）,碗
水煮西兰花,碗
白灼西兰花,碗
西蓝花,碗
水煮西蓝花,碗
西兰花,小碗
水煮西兰花（不加油）,小碗
水煮西兰花,小碗
白灼西兰花,小碗
西蓝花,小碗
水煮西蓝花,小碗
西兰花,朵
水煮西兰花（不加油）,朵
水煮西兰花,朵
白灼西兰花,朵
西蓝花,朵
水煮西蓝花,朵
西兰花,小朵
水煮西兰花（不加油）,小朵
水煮西兰花,小朵
白灼西兰花,小朵
西蓝花,小朵
水煮西蓝花,小朵
牛肉,袋
瘦牛肉（生）,袋
牛肉块,袋
牛肉,g
瘦牛肉（生）,g
牛肉块,g
牛肉,份
瘦牛肉（生）,份
牛肉块,份
牛肉,片
瘦牛肉（生）,片
牛肉块,片
牛肉,块
瘦牛肉（生）,块
牛肉块,块
牛肉,盘
瘦牛肉（生）,盘
牛肉块,盘
煎蛋,个
荷包蛋,个
煎荷包蛋,个
煎鸡蛋,个
煎蛋,g
荷包蛋,g
煎荷包蛋,g
煎鸡蛋,g
去皮鸡腿,个
去皮鸡腿肉,个
Keep 去皮鸡腿肉（日式炭烧味）,个
Keep 去皮鸡腿肉（藤椒味）,个
肌霸 去皮鸡腿（烧烤味）,个
去皮鸡腿,块
去皮鸡腿肉,块
Keep 去皮鸡腿肉（日式炭烧味）,块
Keep 去皮鸡腿肉（藤椒味）,块
肌霸 去皮鸡腿（烧烤味）,块
去皮鸡腿,份
去皮鸡腿肉,份
Keep 去皮鸡腿肉（日式炭烧味）,份
Keep 去皮鸡腿肉（藤椒味）,份
肌霸 去皮鸡腿（烧烤味）,份
去皮鸡腿,袋
去皮鸡腿肉,袋
Keep 去皮鸡腿肉（日式炭烧味）,袋
Keep 去皮鸡腿肉（藤椒味）,袋
肌霸 去皮鸡腿（烧烤味）,袋
去皮鸡腿,小包
去皮鸡腿肉,小包
Keep 去皮鸡腿肉（日式炭烧味）,小包
Keep 去皮鸡腿肉（藤椒味）,小包
肌霸 去皮鸡腿（烧烤味）,小包
去皮鸡腿,g
去皮鸡腿肉,g
Keep 去皮鸡腿肉（日式炭烧味）,g
Keep 去皮鸡腿肉（藤椒味）,g
肌霸 去皮鸡腿（烧烤味）,g
西红柿,小盘
番茄,小盘
生西红柿,小盘
西红柿（生）,小盘
西红柿,个
番茄,个
生西红柿,个
西红柿（生）,个
